# r0x r0y r0z v0x v0y v0z t0_days Cj DE DV Emax h_perigeo h_min_periluneo
2.130596632495217818e+03 2.010637141988368967e+04 0.000000000000000000e+00 5.368684957650348366e+00 3.443193670889051372e+00 0.000000000000000000e+00 -1.837619761926635110e+05 8.100000000000000533e-01 1.373341796835975570e+00 1.804068351370847090e+00 7.618932731132087577e-01 6.878316993241587625e+02 1.410505835174904178e+03
6.411488801196002896e+03 2.243858662248926339e+04 0.000000000000000000e+00 5.108230545288199309e+00 2.727721842725444379e+00 0.000000000000000000e+00 -1.800117317805683415e+05 8.100000000000000533e-01 6.174517821145036889e-01 1.625207589324731750e+00 5.566840365317935607e-03 7.186492406830193431e+02 4.686810283859462288e+03
1.116480524095285364e+04 -1.613258729223316914e+04 0.000000000000000000e+00 5.554038481916623304e+00 -1.558293110673123039e+00 0.000000000000000000e+00 -1.425092876596165879e+05 8.100000000000000533e-01 2.228860201796006857e-01 1.664097034707607392e+00 1.129377593734823791e-02 7.640498579904442522e+02 2.045896829421629445e+04
2.569705214349556627e+03 1.528901613881056437e+04 0.000000000000000000e+00 3.887220192684861075e+00 4.949348740800841639e+00 0.000000000000000000e+00 -1.616355341613020049e+06 8.200000000000000622e-01 1.098987035125569278e+00 1.771921641640915368e+00 4.886911909474055959e-01 2.384385881509388128e+02 4.306682279258948256e+02
2.972910252036503152e+03 2.037339723578001576e+04 0.000000000000000000e+00 5.347942176127199687e+00 3.302461775599981220e+00 0.000000000000000000e+00 -1.837619761926635110e+05 8.200000000000000622e-01 1.369703602486915583e+00 1.775636169330945258e+00 7.552774399790914694e-01 5.259196608500315051e+02 1.307210318384745278e+03
7.227515697623481174e+03 2.260635277175866577e+04 0.000000000000000000e+00 5.080710138697154932e+00 2.630713835202308726e+00 0.000000000000000000e+00 -1.800117317805683415e+05 8.200000000000000622e-01 6.174614364943606937e-01 1.603575029536388641e+00 2.555700061014134009e-03 5.594626611341582247e+02 4.672890679917167290e+03
3.821966248012739015e+03 2.062494968646997950e+04 0.000000000000000000e+00 5.323202314499411614e+00 3.168066277537403330e+00 0.000000000000000000e+00 -1.837619761926635110e+05 8.300000000000000711e-01 1.366074287113336450e+00 1.747679654215531286e+00 7.486755760518007952e-01 3.655646196274565227e+02 1.209574786262485304e+03
4.677088741887760989e+03 2.086130311388056725e+04 0.000000000000000000e+00 5.295025207589295846e+00 3.039858058550071185e+00 0.000000000000000000e+00 -1.837619761926635110e+05 8.399999999999999689e-01 1.362206615320240566e+00 1.720234657067609696e+00 7.418404911495161125e-01 2.067760752270478406e+02 1.118390805558860166e+03
-2.530938443380685385e+03 -9.638950690823889090e+03 0.000000000000000000e+00 7.036165708568989707e+00 -4.366670523075509180e+00 0.000000000000000000e+00 -1.462595320717117866e+05 8.499999999999999778e-01 2.747140339335366055e-01 2.404399645140783193e+00 3.475291418057253195e-02 2.532787139366273550e+02 1.679691469988503741e+04
-1.077486487456464147e+03 -1.060125109726764640e+04 0.000000000000000000e+00 6.886802133103755885e+00 -3.799281527401170422e+00 0.000000000000000000e+00 -1.462595320717117866e+05 8.599999999999999867e-01 2.751068693040761848e-01 2.281372418536583346e+00 3.106146716329432136e-02 3.341137755087593177e+02 1.678706366612366764e+04
