K,cluster,representative_source,phase,parameter,unit,n_cluster,n_valid,n_missing,median,std,p05,p95,width90,minimum,maximum,range,skewness,error95,error_max,angle_origin_deg,angle_resultant
14,4,91614,backward,eps,km^2/s^2,6762,6762.0,0.0,-0.16284897914388063,0.05442891387131448,-0.24150459154321022,-0.05191312059486146,0.18959147094834877,-0.2582250091029896,-0.04391779137377705,0.21430721772921257,0.3625503234805682,0.12422529089374619,0.1322206201148306,nan,nan
14,5,47096,backward,eps,km^2/s^2,7989,7989.0,0.0,-0.8629924062956539,0.02536159232771608,-0.9011255130295835,-0.8141895890023771,0.0869359240272064,-0.9412522397006342,-0.8066103600792471,0.13464187962138707,0.21248822015742658,0.05016196282880262,0.07776794111917051,nan,nan
14,6,168099,backward,eps,km^2/s^2,9791,9791.0,0.0,-0.18675988594356263,0.04465001120529623,-0.25536014143054137,-0.11243544383359744,0.14292469759694393,-0.2593276385082858,-0.05818313654169116,0.2011445019665946,0.0032065133396190185,0.08014535526381655,0.13439766255572283,nan,nan
14,7,212888,backward,eps,km^2/s^2,33997,33997.0,0.0,-0.22573430954609386,0.028580998506217245,-0.25077980452928617,-0.15904856516096394,0.09173123936832223,-0.25819055416029335,-0.11804942548627029,0.14014112867402306,0.9304321021048729,0.06399222456463433,0.10499136423932798,nan,nan
14,8,20330,backward,eps,km^2/s^2,8785,8785.0,0.0,-0.8694265310764981,0.0224411097462972,-0.9035036407093833,-0.8372130719807831,0.06629056872860017,-0.9143084137733086,-0.8064508012302118,0.10785761254309678,0.23661004534913652,0.06206958387728902,0.07287435694121436,nan,nan
14,9,88967,backward,eps,km^2/s^2,9827,9827.0,0.0,-0.9787832408794249,0.037694920671761376,-1.0032067519864347,-0.887882100856361,0.11532465113007373,-1.0086547271271056,-0.8067522515618202,0.2019024755652854,1.5129843729682888,0.10456450302492996,0.18569435231947073,nan,nan
14,10,76092,backward,eps,km^2/s^2,14108,14108.0,0.0,-0.937499085836466,0.019767131300331413,-0.968039863177371,-0.9082755455909549,0.059764317586416094,-1.0207392989867343,-0.8376237800441377,0.1831155189425966,0.3570797447149211,0.05027323454333281,0.120879872353991,nan,nan
14,11,33850,backward,eps,km^2/s^2,3003,3003.0,0.0,-0.9059362300099925,0.04686795442221277,-0.9771973918384461,-0.8305316376328127,0.14666575420563344,-1.0207437552380227,-0.8063623697289342,0.21438138550908858,0.11139108787745103,0.07603786560478663,0.11480752522803028,nan,nan
14,12,164683,backward,eps,km^2/s^2,1908,1908.0,0.0,-0.19141670923902798,0.10135541818907358,-0.25690084861222034,-0.11436062292840193,0.1425402256838184,-1.0176690233481307,-0.04380722131250103,0.9738618020356297,-5.444644661484589,0.08582404413669509,0.8239170557409793,nan,nan
14,13,140919,backward,eps,km^2/s^2,27138,27138.0,0.0,-0.18557475423345976,0.032896754201024,-0.2274106112012705,-0.12944530771605928,0.09796530348521124,-0.24666042427620471,-0.11872546078199386,0.12793496349421085,0.19801224408931847,0.06108521288348306,0.07180505981754848,nan,nan
14,0,181750,backward,e,-,47927,47927.0,0.0,0.6965929816433682,0.0965783056342793,0.5278480430066952,0.8280365818820297,0.3001885388753345,0.4303047440421292,0.8598376401626954,0.42953289612056617,-0.23202504358796577,0.1630708758040114,0.25488046026411465,nan,nan
14,1,21408,backward,e,-,3508,3508.0,0.0,0.27133620007403825,0.09063702224148684,0.22333199344121218,0.5019311416720544,0.27859914823084225,0.17004250047813105,0.5729713754320799,0.4029288749539488,0.8414738261142306,0.2582078041439652,0.3292480379039906,nan,nan
