# x0 y0 z0 v0x v0y v0z Cj E_SOI h_min_periluneo h_perigeo
1.044092400491510864e+00 -6.702769729413197985e-02 0.000000000000000000e+00 3.224853301139391504e-01 3.675564516722752417e-01 0.000000000000000000e+00 3.000000000000005329e+00 6.459031499535188015e-02 4.270118807570169338e+03 2.606551205155134667e+05
9.315102106445386498e-01 -3.658715218069449188e-02 0.000000000000000000e+00 -1.578680877192498277e+00 -6.562359142774836229e-01 0.000000000000000000e+00 4.000000000000030198e-01 7.380418253469313294e-02 7.453247164567744676e+02 5.566677626619299554e+04
9.766043259612494642e-01 -9.435808309681303560e-03 0.000000000000000000e+00 -1.503652863055284561e+00 2.153821467136912970e-01 0.000000000000000000e+00 2.300000000000004263e+00 1.054451616585278945e-01 1.721803805946944522e+03 6.284221683447367104e+04
1.023016152446379667e+00 -2.555007989424816495e-02 0.000000000000000000e+00 1.524372189500970531e+00 -7.684753403933383131e-01 0.000000000000000000e+00 6.000000000000031974e-01 9.255280300666028637e-02 2.578867657624368235e+02 7.049466428590608120e+04
9.857247889163629484e-01 -5.837552901167861880e-03 0.000000000000000000e+00 -2.396515435164697116e+00 -5.657741969641794100e-01 0.000000000000000000e+00 8.000000000000033751e-01 6.814002490105387499e-01 8.147048163603363946e+01 3.841995605580035044e+04
9.678242040393176815e-01 -1.740771065019123057e-02 0.000000000000000000e+00 1.649398755757517598e+00 -1.359440039947565904e+00 0.000000000000000000e+00 -6.999999999999979572e-01 3.522387102259678660e-01 2.768238316994067191e+03 1.382171110338997678e+05
9.819539418745689696e-01 -1.157065372224920508e-02 0.000000000000000000e+00 -1.938965283018809549e+00 -6.028106847774130639e-01 0.000000000000000000e+00 7.000000000000032863e-01 3.964159216799405527e-01 1.427802061192717019e+03 9.746270232919685441e+03
1.036979545717737539e+00 -4.581452334921649883e-02 0.000000000000000000e+00 8.969287626766201393e-01 1.267933278106128381e-01 0.000000000000000000e+00 2.500000000000005329e+00 9.587962983967020236e-02 4.247770336358674285e+03 1.704950074736048191e+04
9.897620360851879795e-01 -7.670825779840157767e-03 0.000000000000000000e+00 2.213270003995819302e+00 -6.533543565742301329e-01 0.000000000000000000e+00 7.000000000000032863e-01 6.239995930992265905e-01 7.253043478817581899e+02 1.167870938469186513e+04
9.716590160171005852e-01 -2.312238516831388591e-02 0.000000000000000000e+00 -1.675370096851053203e+00 -1.344007840093300876e+00 0.000000000000000000e+00 -7.999999999999980460e-01 2.139302825508779538e-01 4.676391583637336566e+02 2.344206814344992163e+05
1.119166375484881959e+00 -3.765451258695591552e-02 0.000000000000000000e+00 3.663009128674218906e-01 2.075257838505630836e-01 0.000000000000000000e+00 3.000000000000005329e+00 3.247626525533370972e-02 1.502196430041163694e+03 1.280463543224214227e+05
9.888528657959836377e-01 -9.546536161030365689e-03 0.000000000000000000e+00 1.585491068329341502e+00 4.115303092235374494e-01 0.000000000000000000e+00 2.800000000000005151e+00 1.371984386631969755e-01 3.033116802783328225e+01 2.579652789985258132e+05
1.057267172309828140e+00 -5.043490245259982935e-02 0.000000000000000000e+00 1.280081885934404529e+00 -4.586526194873277174e-01 0.000000000000000000e+00 1.400000000000003908e+00 5.454253318104666098e-02 4.812092203198963944e+03 5.242188994387010098e+03
9.811611751173060503e-01 -1.113121593300750445e-02 0.000000000000000000e+00 -1.939048081103670773e+00 -6.025688822835704173e-01 0.000000000000000000e+00 7.000000000000032863e-01 3.774911638711253570e-01 1.114399287524378906e+03 1.248794265388346685e+04
9.894211084446005167e-01 -1.118268604698556198e-02 0.000000000000000000e+00 1.461608771400100482e+00 4.089018338399442176e-01 0.000000000000000000e+00 2.800000000000005151e+00 1.454112731908164535e-01 2.533927920978283510e+03 2.190726503366184770e+05
1.062747335487979727e+00 -5.441647406193609454e-02 0.000000000000000000e+00 1.193213073264904445e+00 -3.268166274238032409e-01 0.000000000000000000e+00 1.700000000000004619e+00 5.413468930922477745e-02 1.129806368381190987e+04 3.186332033314018190e+04
9.847253734322296559e-01 -1.607215769422056656e-02 0.000000000000000000e+00 -1.622901004204717834e+00 -4.453917371869275249e-02 0.000000000000000000e+00 1.800000000000004263e+00 3.815127829534298853e-01 4.341197580789641506e+03 3.121625663072863972e+04
9.765156699690596964e-01 -1.618636450738734217e-02 0.000000000000000000e+00 -1.803452802925994414e+00 -7.932832329005027328e-01 0.000000000000000000e+00 3.000000000000029310e-01 2.527101060720419734e-01 1.514211851874141530e+03 4.162429527167027845e+04
9.836986903798725645e-01 -2.620708211592414835e-02 0.000000000000000000e+00 -1.125787977790133398e+00 3.163099599642695270e-01 0.000000000000000000e+00 2.500000000000005329e+00 1.686669606075724970e-01 8.350568984865130915e+03 1.629000656320249836e+05
9.843923837887036399e-01 -2.459854911179005024e-02 0.000000000000000000e+00 9.795621926263513579e-01 4.127121908982827048e-01 0.000000000000000000e+00 2.800000000000005151e+00 1.660790183534887610e-01 5.676933427264494640e+03 2.644748791918615461e+05
9.745976072118055500e-01 -2.492315616845011336e-02 0.000000000000000000e+00 -1.095670400814774403e+00 3.353649777033076984e-01 0.000000000000000000e+00 2.500000000000005329e+00 8.560123397032931569e-02 4.077784041933411572e+03 1.574986187025750041e+04
1.141681211403745122e+00 -5.599016971027133416e-02 0.000000000000000000e+00 3.775222152431728651e-01 1.509104098426845286e-01 0.000000000000000000e+00 3.000000000000005329e+00 4.015167106649204093e-02 8.521161250430996006e+03 3.132631631847637473e+05
9.840167455559084564e-01 -6.914443932295301007e-03 0.000000000000000000e+00 -2.167145860635220522e+00 -3.590916090795199245e-01 0.000000000000000000e+00 1.200000000000003730e+00 5.035482297526332474e-01 3.564345951595790325e+02 1.473656881602048816e+04
9.860421758079116472e-01 -1.285966893008612041e-02 0.000000000000000000e+00 -1.647072570729644747e+00 1.001339160016360696e-01 0.000000000000000000e+00 2.100000000000004974e+00 4.053114681807035713e-01 3.230604598990372324e+03 3.627882898672849115e+04
1.066004762211879564e+00 -5.271640051129902749e-02 0.000000000000000000e+00 5.061127372176572603e-01 2.665789088128023843e-01 0.000000000000000000e+00 2.900000000000005684e+00 6.695410755911951339e-02 5.034473864923500514e+03 1.357398933884494181e+05
9.286053971901926385e-01 -4.971169173837959587e-02 0.000000000000000000e+00 -1.583352765862766853e+00 -6.849713487571821302e-01 0.000000000000000000e+00 3.000000000000029310e-01 6.951446955737526634e-02 4.317338849600299909e+03 2.319240646923513123e+04
9.934957767658750827e-01 -9.779665228974108657e-03 0.000000000000000000e+00 1.999406774991524305e+00 -7.113095452907133298e-01 0.000000000000000000e+00 6.000000000000031974e-01 3.951066116022798891e-01 6.684719464291351869e+02 2.760603168096880108e+04
1.026229796699154040e+00 -2.040717403247895717e-02 0.000000000000000000e+00 1.146480286705406471e+00 2.245065281998820730e-02 0.000000000000000000e+00 2.200000000000004619e+00 8.438828178621315956e-02 5.067098975362582678e+03 8.392426466875796905e+04
1.008492965049871737e+00 -3.435652126767579917e-02 0.000000000000000000e+00 9.476877208829913579e-01 2.471036726977559606e-01 0.000000000000000000e+00 2.600000000000004974e+00 1.762409077352286857e-01 1.285417311970152514e+04 1.907458384889596491e+05
1.051237637349353493e+00 -3.808744481214535599e-02 0.000000000000000000e+00 7.416147312467015196e-01 2.047135286767544637e-01 0.000000000000000000e+00 2.700000000000004619e+00 6.738361650618733545e-02 3.122918804242443116e+02 1.235449573523057188e+05
9.532164989492972751e-01 -2.336024365917838824e-02 0.000000000000000000e+00 -1.616127851828053519e+00 -6.519130282940428511e-01 0.000000000000000000e+00 5.000000000000031086e-01 1.105415627809793883e-01 1.667380248147432837e+02 3.977897911630145973e+04
1.081927906611510837e+00 -6.835197469461302966e-02 0.000000000000000000e+00 5.980175220196757291e-01 1.699598769889081040e-01 0.000000000000000000e+00 2.800000000000005151e+00 6.590301895397372711e-02 3.423631616495214257e+04 2.636473005329490989e+05
9.732334282983742257e-01 -1.061918635923716527e-02 0.000000000000000000e+00 -1.685740207508767075e+00 -2.357038681466397390e-01 0.000000000000000000e+00 1.400000000000003908e+00 2.028821217011660127e-01 5.599724230390388584e+02 8.715949371829314259e+03
9.880170121771115754e-01 -9.597659158422843992e-03 0.000000000000000000e+00 -2.052755346479322451e+00 -4.114990736502480706e-01 0.000000000000000000e+00 1.100000000000003197e+00 6.670457892515663234e-01 1.867753261676152988e+03 1.387592852931616289e+04
1.025208907675898118e+00 -3.607757567791625153e-02 0.000000000000000000e+00 1.367529712586284640e+00 -3.918148286996944729e-01 0.000000000000000000e+00 1.400000000000003908e+00 9.694724307569220489e-02 5.460974482043334319e+02 1.507867401917443203e+03
9.872980136167421872e-01 -7.886399812502319431e-03 0.000000000000000000e+00 -2.238838015670820081e+00 -7.162611304119047562e-01 0.000000000000000000e+00 5.000000000000031086e-01 7.184392995041407604e-01 1.001529546895946055e+03 1.164755589149252773e+04
9.272494365226627844e-01 -3.935413124834015453e-02 0.000000000000000000e+00 -1.263821597064893831e+00 4.140885323313502064e-02 0.000000000000000000e+00 1.700000000000004619e+00 8.122302465432934548e-02 1.145039817517734991e+04 2.951054125140259202e+03
9.838032625925065000e-01 -1.411085242096737392e-02 0.000000000000000000e+00 1.330704188060925608e+00 3.691334108667459479e-01 0.000000000000000000e+00 2.700000000000004619e+00 2.741463046763463196e-01 2.544711070145413032e+03 2.524904591593414807e+04
