# t_departure_s x_departure_km y_departure_km z_departure_km vx_departure_km_s vy_departure_km_s vz_departure_km_s t_maneuver_s dx_maneuver_km dy_maneuver_km dz_maneuver_km dvx_maneuver_km_s dvy_maneuver_km_s dvz_maneuver_km_s tof_s DV1_km_s DV2_km_s DVtotal_km_s E_SOI_km2_s2 h_moon_km
-4.429862035825394094e+06 -9.905376326649839029e+03 -4.137921950205389294e+03 0.000000000000000000e+00 1.572494127733326863e+00 -1.082397584036108107e+01 0.000000000000000000e+00 -3.814462348719157744e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.698641565748898241e-03 4.294681439976594239e-02 0.000000000000000000e+00 6.153996871062364662e+05 3.141943426538083894e+00 4.363138720056720932e-02 3.185574813738651034e+00 5.390332429922938262e-01 5.455594123134345637e+02
-4.714057226003633812e+06 -1.009407550778583027e+04 3.722449276153026403e+03 0.000000000000000000e+00 6.187653415789772460e+00 9.035129149133341642e+00 0.000000000000000000e+00 -2.970013612786150072e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.149517359620481072e-01 -3.095177880314581298e-02 0.000000000000000000e+00 1.744043613217483740e+06 3.175603386020930508e+00 1.190458492000762286e-01 3.294649235221006833e+00 5.333823603949586767e-01 1.032798469453147845e+03
-2.755343197882573120e+06 -6.544958379324028101e+03 9.083202033691641191e+03 0.000000000000000000e+00 -8.388201778925276741e+00 -7.085153958972275845e+00 0.000000000000000000e+00 -1.411666189833811019e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.728535685538291622e-01 1.551167495404767727e-01 0.000000000000000000e+00 1.343677008048761869e+06 3.182573037320318488e+00 2.322489228173003073e-01 3.414821960137618628e+00 5.283341265396916953e-01 2.870727422758704961e+03
-2.901764130170376971e+06 -6.036949276414453379e+03 1.005083063602543007e+03 0.000000000000000000e+00 6.086029597377541123e+00 -9.078098855256607536e+00 0.000000000000000000e+00 -2.109808836467008572e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.088208539961396548e-02 1.251641568806186877e-01 0.000000000000000000e+00 7.919552937033683993e+05 3.150100056112211000e+00 1.316716031430370804e-01 3.281771659255248164e+00 5.232606773688183166e-01 1.923984581095424346e+03
-3.155139336722562090e+06 -5.403817133144120817e+02 -1.884420366846778052e+03 0.000000000000000000e+00 9.699243522228412573e+00 -5.085962755580804462e+00 -7.079055687086842129e-13 -1.897852578891642625e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.856538056460999342e-01 1.642224964945430132e-01 -5.992523243972518142e-15 1.257286757830919465e+06 3.179562258196872104e+00 3.294952579856044173e-01 3.509057516182476633e+00 5.197868143175966571e-01 2.521842322074023286e+03
-2.424264670984817203e+06 -1.033020201090021874e+04 4.055570259724310745e+03 0.000000000000000000e+00 5.397443297201174772e+00 9.523143187377321794e+00 0.000000000000000000e+00 -1.434925106594293844e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.501244954897245465e-02 -1.457099562643810464e-01 0.000000000000000000e+00 9.893395643905232428e+05 3.172709717489240244e+00 1.686964965044752407e-01 3.341406213993715291e+00 5.155375578905107004e-01 8.271055382589154306e+02
-2.773165098613629118e+06 -5.695511296549673716e+03 9.677191694731594907e+03 0.000000000000000000e+00 9.236283558831750895e+00 5.868293565484616892e+00 0.000000000000000000e+00 -1.799564898387667490e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.291469035406617283e-01 -2.242803245125266631e-01 0.000000000000000000e+00 9.736002002259613946e+05 3.173166229369541291e+00 3.982955536707005750e-01 3.571461783040241755e+00 5.113996822747306492e-01 6.087368480503814681e+02
-2.593900409360083751e+06 -9.580794787429207645e+03 -3.260018099835715475e+02 0.000000000000000000e+00 -5.169898997842530264e+00 9.669870401877350474e+00 0.000000000000000000e+00 -1.628874460871221963e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.382418426482042162e-02 -6.611710217549270074e-02 0.000000000000000000e+00 9.650259484888615552e+05 3.185065837100447883e+00 9.189666858572345665e-02 3.276962505686171312e+00 5.073997877890166208e-01 1.597138559658841814e+03
-3.939377279956510291e+06 -3.171751757679344337e+03 -7.885824448103437135e+03 0.000000000000000000e+00 6.316568599707613529e+00 -8.944035547319105106e+00 0.000000000000000000e+00 -3.168464692887687590e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.703439152665442158e-01 2.351910137152193325e-01 0.000000000000000000e+00 7.709125870688228169e+05 3.162717939983773707e+00 2.903994876041073314e-01 3.453117427587880872e+00 5.037625825661821155e-01 2.530393128391312530e+03
-1.505043283523960505e+06 -2.112441591613551282e+03 -7.697796712543646208e+03 0.000000000000000000e+00 -6.889885176551764800e+00 8.510858929193149791e+00 0.000000000000000000e+00 -6.452473681940353708e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.050613071365419982e-01 -2.733905281202166915e-01 0.000000000000000000e+00 8.597959153299252503e+05 3.164518661692838908e+00 3.417492070954930572e-01 3.506267868788332187e+00 5.001528773944284856e-01 4.252834858169413224e+02
-1.981362056225198321e+06 -5.501044920155539330e+03 1.928899072681102552e+03 0.000000000000000000e+00 9.750686050716733888e+00 4.976769465884828492e+00 0.000000000000000000e+00 -1.290119592569353292e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.767981368503124151e-01 -2.317821000656409836e-01 0.000000000000000000e+00 6.912424636558451457e+05 3.155581316086137011e+00 5.301503609493896096e-01 3.685731677035526843e+00 4.961533428393210543e-01 4.388833389066793416e+02
